iter	RMSE
0	36.19731581
1	35.46474101
2	34.73449863
3	34.00983269
4	33.30255245
5	32.61925514
6	31.91669025
7	31.26664677
8	30.64273169
9	30.05449277
10	29.50637448
11	28.94674863
12	28.38263665
13	27.86005253
14	27.37793679
15	26.89239039
16	26.39313983
17	25.92960211
18	25.49350426
19	25.09399745
20	24.66729359
21	24.24134624
22	23.82473728
23	23.45004642
24	23.09149732
25	22.72275648
26	22.3703507
27	22.04013474
28	21.70411834
29	21.37316091
30	21.0728585
31	20.80175285
32	20.51557928
33	20.2490053
34	19.98153276
35	19.72408634
36	19.45731236
37	19.20623279
38	18.94894558
39	18.72763897
40	18.49197358
41	18.27427352
42	18.0755374
43	17.86041456
44	17.69086467
45	17.50738186
46	17.32173592
47	17.16168658
48	16.98087961
49	16.83400496
50	16.68751444
51	16.52526872
52	16.37988596
53	16.22943815
54	16.08610986
55	15.96075957
56	15.83963944
57	15.70520619
58	15.59011256
59	15.47393736
60	15.35600541
61	15.24789166
62	15.12914977
63	15.02028174
64	14.92644717
65	14.83378328
66	14.73165624
67	14.65041689
68	14.56227614
69	14.46677461
70	14.38003685
71	14.30486986
72	14.23145852
73	14.1536369
74	14.07139992
75	14.00767631
76	13.94309982
77	13.8670654
78	13.78808799
79	13.71892144
80	13.65443444
81	13.59671348
82	13.53583128
83	13.48763132
84	13.42099392
85	13.36525524
86	13.29816999
87	13.23336115
88	13.18147189
89	13.12715021
90	13.08539018
91	13.04339859
92	12.99855481
93	12.94885198
94	12.9114757
95	12.87380241
96	12.83230865
97	12.78120576
98	12.74469109
99	12.69245286
100	12.65633216
101	12.61712896
102	12.57926208
103	12.52832442
104	12.49779946
105	12.46804461
106	12.43202394
107	12.39796137
108	12.35590591
109	12.32510149
110	12.29034621
111	12.2424651
112	12.21168842
113	12.17689529
114	12.1416498
115	12.10450856
116	12.06972192
117	12.04501465
118	12.01574598
119	11.98302184
120	11.9616716
121	11.93262034
122	11.90055381
123	11.8661884
124	11.83721352
125	11.80967275
126	11.78070828
127	11.75461211
128	11.728196
129	11.71049363
130	11.68788554
131	11.65986432
132	11.62028341
133	11.60067996
134	11.57980535
135	11.56107449
136	11.5341167
137	11.51653619
138	11.49256366
139	11.46956486
140	11.45498859
141	11.43235799
142	11.40369156
143	11.37746893
144	11.3615526
145	11.34469493
146	11.33029509
147	11.31096037
148	11.28770091
149	11.27329797
150	11.25680716
151	11.23862109
152	11.21946761
153	11.20583626
154	11.19696838
155	11.17731417
156	11.15902912
157	11.13451415
158	11.12480689
159	11.11074282
160	11.09435196
161	11.08255657
162	11.07317187
163	11.05025678
164	11.03977106
165	11.02519208
166	11.00961578
167	10.99527194
168	10.97793466
169	10.96624425
170	10.95221232
171	10.93723345
172	10.92765086
173	10.91419674
174	10.89908076
175	10.88166771
176	10.86709085
177	10.85201641
178	10.83847912
179	10.82799322
180	10.81422641
181	10.79328784
182	10.77865397
183	10.77001736
184	10.75570964
185	10.74505237
186	10.73664215
187	10.71615012
188	10.68706351
189	10.67170308
190	10.66643863
191	10.65215376
192	10.64391017
193	10.62844871
194	10.61758386
195	10.6035764
196	10.59727039
197	10.58170943
198	10.5705622
199	10.56364225
200	10.54221585
201	10.53261506
202	10.52554062
203	10.51393716
204	10.50620568
205	10.49145492
206	10.48177992
207	10.47218978
208	10.45521376
209	10.44387725
210	10.43642276
211	10.41577317
212	10.40287644
213	10.38599866
214	10.36404015
215	10.34800507
216	10.32970472
217	10.3220625
218	10.30414483
219	10.29170322
220	10.28467777
221	10.27351178
222	10.25709615
223	10.24644556
224	10.23939129
225	10.22308944
226	10.21316077
227	10.19879814
228	10.18557937
229	10.17188869
230	10.15504499
231	10.14042961
232	10.12666952
233	10.11756543
234	10.10594356
235	10.09130503
236	10.08070205
237	10.07635526
238	10.06800302
239	10.05507629
240	10.04569221
241	10.02917931
242	10.02398999
243	10.00907347
244	9.997156618
245	9.98840528
246	9.982057607
247	9.969524136
248	9.954335866
249	9.948208691
250	9.941468741
251	9.933975575
252	9.925399303
253	9.919471846
254	9.913704493
255	9.907550241
256	9.896194581
257	9.885612589
258	9.873324997
259	9.856047495
260	9.84404551
261	9.839270919
262	9.835575638
263	9.830029454
264	9.823883171
265	9.81282243
266	9.80653275
267	9.79622704
268	9.781679643
269	9.769100178
270	9.757011851
271	9.750286155
272	9.733320789
273	9.717570049
274	9.709013777
275	9.705240709
276	9.700790138
277	9.696228609
278	9.681188675
279	9.672539429
280	9.6631949
281	9.653939977
282	9.639581341
283	9.624986224
284	9.616464399
285	9.60545053
286	9.595587739
287	9.586913267
288	9.58094819
289	9.573961393
290	9.570022149
291	9.563959685
292	9.554508737
293	9.546603036
294	9.535578026
295	9.532235883
296	9.521768235
297	9.510676134
298	9.507155618
299	9.500629489
300	9.497055481
301	9.486050449
302	9.477821048
303	9.474343403
304	9.468784165
305	9.463934897
306	9.459173961
307	9.453891984
308	9.44310513
309	9.439112269
310	9.432880213
311	9.428699929
312	9.422484977
313	9.408352721
314	9.392916081
315	9.383571305
316	9.377327066
317	9.371219819
318	9.36776629
319	9.362006755
320	9.347354733
321	9.342997676
322	9.331866913
323	9.329354458
324	9.308588412
325	9.303690947
326	9.300919223
327	9.298094776
328	9.294246708
329	9.278395636
330	9.265564841
331	9.263007331
332	9.254946273
333	9.242552403
334	9.237957445
335	9.235183006
336	9.228299087
337	9.22231665
338	9.216104384
339	9.202666975
340	9.188909141
341	9.180666654
342	9.175835088
343	9.171419025
344	9.149973564
345	9.147240573
346	9.139266053
347	9.129657217
348	9.115177033
349	9.108280485
350	9.092842196
351	9.082012938
352	9.065601725
353	9.054386748
354	9.034044078
355	9.029692556
356	9.017491349
357	9.015392736
358	9.011911509
359	8.997833727
360	8.991654332
361	8.980031434
362	8.976514138
363	8.964125305
364	8.956541427
365	8.945714719
366	8.934324677
367	8.930102318
368	8.920265731
369	8.918184493
370	8.909103981
371	8.8938752
372	8.888960857
373	8.8857072
374	8.879583349
375	8.869244012
376	8.866462507
377	8.851159257
378	8.845903422
379	8.843557833
380	8.835575472
381	8.834440404
382	8.830906272
383	8.82824438
384	8.826524012
385	8.822543447
386	8.819896073
387	8.812587636
388	8.810048744
389	8.807294515
390	8.805969924
391	8.803809653
392	8.790862306
393	8.787243593
394	8.772289501
395	8.766732522
396	8.75488765
397	8.751527033
398	8.74245133
399	8.728021324
400	8.714025544
401	8.709907331
402	8.699449762
403	8.694968115
404	8.683175293
405	8.670567352
406	8.666356965
407	8.653706491
408	8.644539264
409	8.638888111
410	8.634797181
411	8.631618541
412	8.621713318
413	8.615630368
414	8.608756427
415	8.591194044
416	8.58031058
417	8.572654697
418	8.56181265
419	8.550270158
420	8.542779219
421	8.53595031
422	8.534448529
423	8.531912395
424	8.519548892
425	8.508271098
426	8.493126955
427	8.490865677
428	8.489091756
429	8.477771763
430	8.469594111
431	8.465072199
432	8.453474055
433	8.44455444
434	8.439169385
435	8.429584837
436	8.41650479
437	8.415702493
438	8.409041466
439	8.402004956
440	8.394695402
441	8.383796039
442	8.36777017
443	8.359650999
444	8.355309956
445	8.346585248
446	8.345142196
447	8.332963456
448	8.319966139
449	8.312985722
450	8.302997448
451	8.287897508
452	8.279815394
453	8.266254588
454	8.254536474
455	8.247927427
456	8.241503515
457	8.231826748
458	8.221964813
459	8.214541195
460	8.211546582
461	8.204232245
462	8.197611827
463	8.191330229
464	8.182878909
465	8.178196217
466	8.165677188
467	8.161441654
468	8.154744638
469	8.143164774
470	8.142390112
471	8.138422718
472	8.135246673
473	8.128433634
474	8.119171294
475	8.118412688
476	8.107509211
477	8.100657554
478	8.089938795
479	8.087683955
480	8.079026666
481	8.076743584
482	8.069927003
483	8.067846869
484	8.061430417
485	8.05609039
486	8.049554159
487	8.03886941
488	8.036994919
489	8.029598258
490	8.019120647
491	8.009996576
492	7.99848836
493	7.984151032
494	7.97757397
495	7.969985669
496	7.968122165
497	7.955385071
498	7.950549547
499	7.936899691
500	7.927709671
501	7.914584136
502	7.908868143
503	7.90090087
504	7.897854456
505	7.895613405
506	7.887052946
507	7.879447056
508	7.877297675
509	7.872883677
510	7.864987376
511	7.854462779
512	7.852464741
513	7.851561007
514	7.847842678
515	7.842938484
516	7.831011756
517	7.83030248
518	7.820703414
519	7.814702534
520	7.805446482
521	7.804782451
522	7.795626692
523	7.788864774
524	7.77689579
525	7.767780138
526	7.765970364
527	7.763448081
528	7.753092406
529	7.752420151
530	7.746628872
531	7.740546948
532	7.734267286
533	7.728451672
534	7.71908399
535	7.716970021
536	7.707010387
537	7.702004021
538	7.69269724
539	7.690412374
540	7.689244731
541	7.688591071
542	7.687067501
543	7.677296765
544	7.669474308
545	7.654534324
546	7.645971933
547	7.636939593
548	7.631833509
549	7.626186406
550	7.621791278
551	7.616150269
552	7.611342617
553	7.609437946
554	7.6007864
555	7.597982286
556	7.59351508
557	7.586511469
558	7.583451244
559	7.570327908
560	7.557934452
561	7.554135279
562	7.549556873
563	7.545270216
564	7.538756644
565	7.538168718
566	7.531342261
567	7.525585699
568	7.525022168
569	7.512169716
570	7.504179513
571	7.495237732
572	7.490627403
573	7.483244125
574	7.475647002
575	7.472045692
576	7.462725722
577	7.456004053
578	7.45194135
579	7.445161745
580	7.444293356
581	7.443680788
582	7.43691567
583	7.436293706
584	7.431210908
585	7.42769197
586	7.422309047
587	7.418661333
588	7.409131239
589	7.402096004
590	7.392968081
591	7.390008679
592	7.387830364
593	7.385469044
594	7.379344123
595	7.370150148
596	7.364873306
597	7.355052653
598	7.344317354
599	7.340044189
600	7.337592321
601	7.332984325
602	7.33186362
603	7.330358807
604	7.327732362
605	7.31905839
606	7.312845416
607	7.304142513
608	7.299171718
609	7.290821285
610	7.286236678
611	7.278103502
612	7.265027957
613	7.257067047
614	7.255205155
615	7.249929843
616	7.242810214
617	7.235615211
618	7.220846962
619	7.214997456
620	7.201033768
621	7.198323866
622	7.193918373
623	7.188298907
624	7.18274451
625	7.172801646
626	7.157395662
627	7.155031759
628	7.154466321
629	7.147456436
630	7.134488382
631	7.130177658
632	7.121429517
633	7.116173399
634	7.111936866
635	7.105507316
636	7.0967946
637	7.091158862
638	7.08716995
639	7.078409999
640	7.077838471
641	7.067569532
642	7.067003874
643	7.058624509
644	7.049113355
645	7.042847757
646	7.033892396
647	7.030694907
648	7.03012573
649	7.029618679
650	7.024722948
651	7.017226043
652	7.010934644
653	7.009185935
654	6.997540023
655	6.994563678
656	6.990495129
657	6.979740508
658	6.971709779
659	6.966548172
660	6.961670832
661	6.959154972
662	6.953058362
663	6.95122357
664	6.944482273
665	6.941598559
666	6.931024643
667	6.922061554
668	6.915932298
669	6.904374515
670	6.897893784
671	6.887193206
672	6.88210905
673	6.881267331
674	6.874214084
675	6.87038742
676	6.869263603
677	6.865657836
678	6.855751666
679	6.849606437
680	6.84804698
681	6.844499082
682	6.841081405
683	6.838762311
684	6.833772463
685	6.825564606
686	6.819567595
687	6.812108212
688	6.800957944
689	6.798408359
690	6.793536406
691	6.785968393
692	6.781823408
693	6.774481313
694	6.769692961
695	6.764751562
696	6.759091128
697	6.75428582
698	6.748024683
699	6.738942878
700	6.735184019
701	6.728964349
702	6.724689627
703	6.711916936
704	6.701782564
705	6.697808611
706	6.694549954
707	6.691808537
708	6.687121888
709	6.682483212
710	6.677166455
711	6.673287168
712	6.668681745
713	6.665936021
714	6.661972201
715	6.658637095
716	6.652669667
717	6.643165604
718	6.635399272
719	6.632814304
720	6.627503456
721	6.620456831
722	6.617557401
723	6.611970562
724	6.611137407
725	6.607420259
726	6.603452442
727	6.596403676
728	6.591051487
729	6.585051093
730	6.5729463
731	6.564856282
732	6.556722942
733	6.552537819
734	6.547307104
735	6.539902404
736	6.534061476
737	6.52967407
738	6.525236696
739	6.521795612
740	6.514721105
741	6.507850973
742	6.5036162
743	6.499212249
744	6.496959801
745	6.491414101
746	6.483562858
747	6.477213348
748	6.475454204
749	6.473021035
750	6.466351075
751	6.46202303
752	6.458578567
753	6.456134443
754	6.451461186
755	6.449057838
756	6.441371623
757	6.43668094
758	6.430827467
759	6.424866744
760	6.418491535
761	6.412368786
762	6.405354958
763	6.395382922
764	6.385536732
765	6.380310179
766	6.376938392
